nlm_name,abbreviation,issn,jif2020,publons_publisher,scimago_publisher,nlmcatalog_publisher
Acta odontológica latinoamericana : AOL,Acta Odontol Latinoam,0326-4815,NA,Acta Odontologica Latinoamericana,Acta Odontologica Latinoamericana,Acta Odontologica Latinoamericana
Acta odontologica Scandinavica,Acta Odontol Scand,0001-6357,2.331,Taylor & Francis,Informa Healthcare,Norstedt
Advances in dental research,Adv Dent Res,0895-9374,NA,International Association for Dental Research,International Association for Dental Research,International Association for Dental Research
American journal of dentistry,Am J Dent,0894-8275,1.522,"Mosher and Linder, Inc","Mosher and Linder, Inc","Mosher & Linder, Inc."
"American journal of orthodontics and dentofacial orthopedics : official publication of the American Association of Orthodontists, its constituent societies, and the American Board of Orthodontics",Am J Orthod Dentofacial Orthop,0889-5406,2.65,Mosby Inc.,Mosby Inc.,C.V. Mosby
Anesthesia progress,Anesth Prog,0003-3006,NA,NA,Allen Press Inc.,American Dental Society of Anesthesiology
The Angle orthodontist,Angle Orthod,0003-3219,2.079,Allen Press Inc.,Allen Press Inc.,Edward H. Angle Society of Orthodontia
Archives of oral biology,Arch Oral Biol,0003-9969,2.633,Elsevier,Elsevier Ltd.,Pergamon Press
Atlas of the oral and maxillofacial surgery clinics of North America,Atlas Oral Maxillofac Surg Clin North Am,1061-3315,NA,W.B. Saunders Ltd,W.B. Saunders Ltd,Saunders
Australian dental journal,Aust Dent J,0045-0421,2.291,Wiley,Wiley-Blackwell,Australian Dental Association
Australian endodontic journal : the journal of the Australian Society of Endodontology Inc,Aust Endod J,1329-1947,1.659,Wiley,Wiley-Blackwell,Australian Society of Endodontology
BMC oral health,BMC Oral Health,1472-6831,2.757,Springer Nature,BioMed Central Ltd.,BioMed Central
British dental journal,Br Dent J,0007-0610,1.626,Nature Publishing Group,Nature Publishing Group,British Dental Journal
The British journal of oral & maxillofacial surgery,Br J Oral Maxillofac Surg,0266-4356,1.651,Churchill Livingstone,Churchill Livingstone,Churchill Livingstone
Brazilian dental journal,Braz Dent J,0103-6440,NA,Fundação Odontológica de Ribeirão Preto,Associacao Brasileira de Divulgacao Cientifica,Dental Foundation of Ribeirão Preto
Brazilian oral research,Braz Oral Res,1806-8324,NA,Sociedade Brasileira de Pesquisa Odontológica,University of Sao Paolo,Sociedade Brasileira de Pesquisa Odontológica
The Bulletin of Tokyo Dental College,Bull Tokyo Dent Coll,0040-8891,NA,Tokyo Shika Daigaku Gakkai/Tokyo Dental College Society,Tokyo Shika Daigaku Gakkai/Tokyo Dental College Society,Tokyo Shika Daigaku
Canadian journal of dental hygiene : CJDH = Journal canadien de l'hygiène dentaire : JCHD,Can J Dent Hyg,1712-171X,NA,NA,Canadian Dental Hygienists Association,Canadian Dental Hygienists Association
Caries research,Caries Res,0008-6568,4.056,Karger Publishers,S. Karger AG,Karger
The Chinese journal of dental research : the official journal of the Scientific Section of the Chinese Stomatological Association (CSA),Chin J Dent Res,1462-6446,NA,Quintessence Publishing Company,Quintessence Publishing Company,Quintessence Pub. Co.
The Cleft palate-craniofacial journal : official publication of the American Cleft Palate-Craniofacial Association,Cleft Palate Craniofac J,1055-6656,1.433,SAGE Publishing,American Cleft Palate Craniofacial Association,The Association
Clinical advances in periodontics,Clin Adv Periodontics,2163-0097,NA,American Academy of Periodontology,Wiley Subscription Services,American Academy of Periodontology
Clinical and experimental dental research,Clin Exp Dent Res,2057-4347,NA,Wiley,John Wiley & Sons Inc.,Wiley
